ID,Category,Law Name,Section/Act Reference,Full Act Name,Year Enacted/Amended,Current Status,Key Provisions Summary,Who It Applies To,Enforcement Authority,Importance Level
301,Legal Advice - Rent,Rent Agreement - Minimum Terms,Model Tenancy Act 2021,Model Tenancy Act,2021,Active,"Written agreement zaroor hona chahiye; rent, duration, deposit clearly likha ho",Tenants & Landlords,Rent Authority,High
302,Legal Advice - Rent,Security Deposit Limit,MTA Section 11,Model Tenancy Act,2021,Active,Residential: max 2 months rent deposit; Commercial: max 6 months rent deposit,Tenants,Rent Authority / Courts,High
303,Legal Advice - Rent,Eviction Notice Period,MTA Section 21,Model Tenancy Act,2021,Active,Landlord must give 15 days notice for rent default; 30 days for other reasons,Tenants,Rent Court,High
304,Legal Advice - Rent,Rent Increase Rules,MTA Section 9,Model Tenancy Act,2021,Active,Rent increase only after written notice; periodic revision as per agreement,Tenants & Landlords,Rent Authority,High
305,Legal Advice - Rent,Subletting Without Permission,MTA Section 13,Model Tenancy Act,2021,Active,Sublet karna tenant ka right nahi; landlord ki written permission zaroor leni hogi,Tenants,Rent Court,Medium
306,Legal Advice - Rent,Repair Responsibility,MTA Section 16-17,Model Tenancy Act,2021,Active,Major repairs landlord ki zimmedari; Minor repairs below Rs 5000 tenant ki,Both Parties,Rent Authority,Medium
307,Legal Advice - Rent,Rent Receipt Mandatory,MTA Section 8,Model Tenancy Act,2021,Active,Landlord har mahine rent receipt dene ke liye bound hai; digital receipt valid,Tenants,Rent Authority,High
308,Legal Advice - Rent,Illegal Eviction Protection,MTA Section 24,Model Tenancy Act,2021,Active,Bina court order ke tenant ko nikalna illegal; landlord liable for damages,Tenants,Rent Court,High
309,Legal Advice - Rent,Amenities Cut Off Prohibited,MTA Section 23,Model Tenancy Act,2021,Active,Landlord bijli pani band nahi kar sakta; penalty + compensation tenant ko milega,Tenants,Rent Court,High
310,Legal Advice - Rent,Deposit Refund Rules,MTA Section 12,Model Tenancy Act,2021,Active,Deposit 1 month ke andar refund hona chahiye; deduction only for actual damage,Tenants,Rent Authority,High
311,Legal Advice - Bank Loan,Loan Agreement Red Flags,RBI Fair Practices Code,RBI Guidelines for Fair Practices Code for Lenders,2015,Active,"Hidden charges, prepayment penalty clause, floating rate terms dhyan se padhein",Borrowers,Banking Ombudsman / RBI,High
312,Legal Advice - Bank Loan,Right to Know EMI Breakup,RBI Digital Lending Guidelines 2022,Reserve Bank of India Digital Lending Guidelines,2022,Active,Bank ko KFS (Key Fact Statement) dena zaroori; APR clearly batana hoga,Borrowers,Banking Ombudsman,High
313,Legal Advice - Bank Loan,Prepayment Penalty Rules,RBI Circular 2014,RBI Circular on Prepayment Penalty,2014,Active,Floating rate home loans par prepayment penalty nahi lagegi; fixed rate par lag sakti,Home Loan Borrowers,Banking Ombudsman,High
314,Legal Advice - Bank Loan,CIBIL Score & Loan Rights,Credit Information Companies Act 2005,Credit Information Companies (Regulation) Act,2005,Active,Aap apna CIBIL score free mein ek baar dekh sakte hain; galat entry correct karwa sakte hain,All Borrowers,Credit Bureau / RBI Ombudsman,High
315,Legal Advice - Bank Loan,NPA Notice Before Action,SARFAESI Act Section 13(2),SARFAESI Act,2002,Active,Bank ko 60 days ka notice dena hoga NPA declare karne se pehle action lene ke liye,Loan Defaulters,DRT / Bank,High
316,Legal Advice - Bank Loan,Loan Recovery Harassment,RBI Recovery Agent Guidelines,RBI Guidelines on Recovery Agents,2008,Active,Recovery agent subah 7 baje se pehle ya raat 7 baje ke baad call nahi kar sakta,Loan Defaulters,Banking Ombudsman / Police,High
317,Legal Advice - Bank Loan,Right to Balance Sheet Before Auction,SARFAESI Section 13(8),SARFAESI Act,2002,Active,Property auction se pehle borrower outstanding amount chuka sakta hai aur property le sakta hai,Mortgage Borrowers,DRT,High
318,Legal Advice - Bank Loan,Personal Loan No Collateral,Contract Act + RBI Guidelines,Indian Contract Act & RBI Unsecured Loan Rules,1872,Active,Personal loan ke liye bank koi property nahi le sakta; guarantor terms clearly samjhein,Personal Loan Borrowers,Banking Ombudsman,High
319,Legal Advice - Bank Loan,Joint Loan Liability,Indian Contract Act Section 43,Indian Contract Act,1872,Active,Joint loan mein dono borrowers equally liable hain; ek ke default par dusre se recovery,Joint Loan Borrowers,Civil Court / Bank,High
320,Legal Advice - Bank Loan,Interest Rate Change Notification,RBI Master Circular,RBI Master Circular on Interest Rates on Advances,2015,Active,Bank interest rate change hone par borrower ko likhit mein suchit karna zaroori hai,All Borrowers,Banking Ombudsman,High
321,Legal Advice - Job Offer,Offer Letter vs Appointment Letter,Industrial Employment Act 1946,Industrial Employment (Standing Orders) Act,1946,Active,Offer letter conditional hota hai; appointment letter join karne ke baad milta hai legally binding,Employees,Labour Court,High
322,Legal Advice - Job Offer,Notice Period Enforceability,Indian Contract Act Section 27,Indian Contract Act,1872,Active,3 month se zyada notice period unreasonable ho sakta hai; court enforce nahi karti hamesha,Employees,Labour Court,High
323,Legal Advice - Job Offer,Non-Compete Clause India,Indian Contract Act Section 27,Indian Contract Act,1872,Active,Post-employment non-compete India mein generally enforceable nahi; restraint of trade illegal,Employees,Civil Court,High
324,Legal Advice - Job Offer,Salary Slip Mandatory,Code on Wages 2019,Code on Wages,2019,Active,Employer har employee ko salary slip dena legally bound hai; digital slip valid,All Employees,Labour Commissioner,High
325,Legal Advice - Job Offer,Probation Period Rules,Standing Orders / Contract,Industrial Employment (Standing Orders) Act,1946,Active,Probation maximum 3-6 months hona chahiye; confirmation likhit mein milni chahiye,Employees,Labour Court,Medium
326,Legal Advice - Job Offer,Wrongful Termination,Industrial Disputes Act / IR Code 2020,Industrial Relations Code,2020,Active,100+ workers ki company mein retrenchment ke liye govt permission zaroori; 1 month notice ya pay,Employees,Labour Court / Industrial Tribunal,High
327,Legal Advice - Job Offer,PF Deduction Mandatory,EPF Act / SS Code 2020,Code on Social Security,2020,Active,20+ workers: PF compulsory; employer bhi 12% contribute karta hai; koi kaat nahi sakta,Employees earning below Rs 15000,EPFO,High
328,Legal Advice - Job Offer,Overtime Pay Rules,Code on Wages 2019,Code on Wages,2019,Active,9 ghante se zyada kaam par double rate OT pay milna chahiye; compensatory off bhi valid,All Workers,Labour Commissioner,High
329,Legal Advice - Job Offer,Sexual Harassment at Workplace,POSH Act 2013,Sexual Harassment of Women at Workplace Act,2013,Active,Har company mein ICC banana zaroori; complaint ke baad 60 din mein inquiry complete honi chahiye,Women Employees,Internal Complaints Committee,High
330,Legal Advice - Job Offer,Background Check Consent,DPDP Act 2023,Digital Personal Data Protection Act,2023,Active,Employer background check ke liye candidate ki written consent lena zaroori hai,Job Candidates,Data Protection Board,High
331,Legal Advice - Insurance,Free Look Period,IRDAI Regulations,IRDAI (Protection of Policyholders Interests) Regulations,2017,Active,Policy milne ke 30 din ke andar wapas kar sakte hain; full premium refund milega,Insurance Policyholders,IRDAI / Insurance Ombudsman,High
332,Legal Advice - Insurance,Claim Rejection Rules,IRDAI Claim Regulations,IRDAI (Protection of Policyholders Interests) Regulations,2017,Active,Insurer 30 din mein claim settle kare ya reject kare; reasons likhit mein dene honge,Insurance Claimants,Insurance Ombudsman,High
333,Legal Advice - Insurance,Pre-existing Disease Disclosure,IRDAI Health Insurance Regulations,IRDAI (Health Insurance) Regulations,2016,Active,Policy lene se pehle sabhi bimariyan honestly disclose karein; nahi toh claim reject ho sakta,Health Insurance Buyers,Insurance Ombudsman,High
334,Legal Advice - Insurance,Claim Settlement Time Limit,IRDAI Circular 2015,IRDAI Circular on Claim Settlement,2015,Active,Life insurance death claim 30 din mein; health insurance cashless 1 ghante mein approve hona chahiye,Insurance Claimants,Insurance Ombudsman,High
335,Legal Advice - Insurance,Nominee Rights,Insurance Act Section 39,Insurance Act,1938,Active,Nominee ko policy amount milta hai; nominee update karwate rehna zaroori hai,Policyholders,Insurance Company / Courts,High
336,Legal Advice - Insurance,Motor Insurance Third Party,Motor Vehicles Act 1988,Motor Vehicles Act,1988,Active,Third party insurance compulsory; bina insurance gaadi chalana Rs 2000 fine + 3 months jail,Vehicle Owners,MACT / Courts,High
337,Legal Advice - Insurance,Insurance Ombudsman Complaint,IRDAI Ombudsman Rules 2017,Insurance Ombudsman Rules,2017,Active,Rs 50 lakh tak ke claims ke liye free complaint; 3 mahine mein decision aana chahiye,Insurance Complainants,Insurance Ombudsman,High
338,Legal Advice - Insurance,Policy Lapse Revival,IRDAI Life Insurance Regulations,IRDAI (Non-Linked Insurance Products) Regulations,2019,Active,Lapsed policy 5 saal ke andar revive kar sakte hain; arrears + interest pay karke,Life Insurance Policyholders,Insurance Company,Medium
339,Legal Advice - Property,Title Verification Before Buying,Transfer of Property Act 1882,Transfer of Property Act,1882,Active,Kharidte waqt 30 saal ki title history check karein; encumbrance certificate zaroor lein,Property Buyers,Civil Court / Registrar,High
340,Legal Advice - Property,RERA Registration Check,RERA Act 2016,Real Estate Regulation and Development Act,2016,Active,Naya flat kharidne se pehle RERA website par project registered hai ya nahi check karein,Home Buyers,RERA Authority,High
341,Legal Advice - Property,Sale Agreement vs Sale Deed,Registration Act 1908,Registration Act,1908,Active,Sale agreement sirf promise hai; Sale Deed register hone par hi ownership transfer hoti hai,Property Buyers,Sub-Registrar / Civil Court,High
342,Legal Advice - Property,Stamp Duty Payment,Indian Stamp Act 1899,Indian Stamp Act,1899,Active,Proper stamp duty pay karna zaroori hai; kam stamp duty par document court mein invalid,Property Buyers,Stamp Authority,High
343,Legal Advice - Property,Builder Delay Compensation,RERA Section 18,Real Estate Regulation and Development Act,2016,Active,Builder delay kare to buyer ko SBI MCLR rate par interest compensation milega ya refund,Home Buyers,RERA Authority,High
344,Legal Advice - Property,Society Maintenance Dispute,Cooperative Societies Act (State),Various State Cooperative Societies Acts,1960,Active,Society aapki parking ya amenities rokne ka adhikar nahi; maintenance rate BOD decide karta hai,Apartment Owners,Registrar of Cooperative Societies,Medium
345,Legal Advice - Property,Ancestral Property Rights,Hindu Succession Act 1956 (Amended 2005),Hindu Succession Act,2005,Active,Daughters ko bete ke barabar ancestral property mein hissa milta hai; 2005 amendment,Hindu Family Members,Civil Court,High
346,Legal Advice - Property,Will vs Inheritance,Hindu Succession Act / Indian Succession Act,Hindu Succession Act & Indian Succession Act,1956,Active,Will registered honi chahiye; bina will ke property succession law ke hisaab se banti hai,Legal Heirs,Civil Court / Probate Court,High
347,Legal Advice - Property,Mutation of Property,State Land Revenue Acts,Various State Land Revenue Acts,1900,Active,Property kharidne ke baad mutation/dakhil kharij zaroori hai; naam revenue records mein aana chahiye,Property Buyers,Tehsildar / Revenue Court,High
348,Legal Advice - Property,Power of Attorney Risks,Powers of Attorney Act 1882,Powers of Attorney Act,1882,Active,General POA se koi bhi transaction kar sakta hai; limited POA safer hai; revoke karna possible,Property Owners,Sub-Registrar / Civil Court,High
349,Legal Advice - Consumer,Online Shopping Return Policy,Consumer Protection E-Commerce Rules 2020,Consumer Protection (E-Commerce) Rules,2020,Active,Return policy clearly display honi chahiye; seller unilaterally change nahi kar sakta,Online Shoppers,Consumer Commission,High
350,Legal Advice - Consumer,Defective Product Complaint,Consumer Protection Act 2019,Consumer Protection Act,2019,Active,Defective product ke liye replacement ya refund maang sakte hain; 2 saal warranty implied,Consumers,District Consumer Commission,High
351,Legal Advice - Consumer,Service Deficiency Claim,Consumer Protection Act 2019,Consumer Protection Act,2019,Active,"Doctor, hospital, builder, bank - sabki service mein kami par consumer forum mein complaint",Service Recipients,Consumer Commission,High
352,Legal Advice - Consumer,Consumer Forum Filing Fee,CPA 2019 Rules,Consumer Protection (Consumer Disputes Redressal Commissions) Rules,2020,Active,District forum: free up to Rs 5 lakh; Rs 5-10 lakh: Rs 200; above Rs 10 lakh: Rs 400,All Consumers,Consumer Commission,High
353,Legal Advice - Consumer,Misleading Advertisement,Consumer Protection Act Section 2(28),Consumer Protection Act,2019,Active,Misleading ad dekhne par CCPA ko complaint karein; brand ko fine lag sakta hai,Consumers,Central Consumer Protection Authority,High
354,Legal Advice - Consumer,Food Quality Complaint,Food Safety and Standards Act 2006,Food Safety and Standards Act,2006,Active,Kharab khana milne par FSSAI ko complaint karein; restaurant ka license cancel ho sakta hai,Food Consumers,FSSAI / Consumer Commission,High
355,Legal Advice - Consumer,Restaurant Hidden Charges,Consumer Protection Act 2019,Consumer Protection Act,2019,Active,Service charge optional hai; restaurant force nahi kar sakta; menu price inclusive hona chahiye,Restaurant Customers,Consumer Commission / CCPA,High
356,Legal Advice - Consumer,Telecom Complaint Process,TRAI Regulations,Telecom Consumers Protection Regulations,2012,Active,Pehle telecom company ko complain karein; na sune toh TRAI consumer portal par complaint,Telecom Consumers,TRAI / Telecom Ombudsman,High
357,Legal Advice - Contract,Contract Must Be in Writing?,Indian Contract Act Section 10,Indian Contract Act,1872,Active,Verbal contracts bhi valid hain lekin proof nahi hota; written contract hamesha behtar,All Contracting Parties,Civil Court,High
358,Legal Advice - Contract,Stamp Paper Requirement,Indian Stamp Act 1899,Indian Stamp Act,1899,Active,Sabhi agreements Rs 100 stamp paper par nahi chahiye; sirf kuch specific documents par,Contracting Parties,Civil Court / Stamp Authority,Medium
359,Legal Advice - Contract,Contract With Minor,Indian Contract Act Section 11,Indian Contract Act,1872,Active,18 saal se kam umar ke saath kiya gaya contract void hai; koi legal force nahi,All Contracting Parties,Civil Court,High
360,Legal Advice - Contract,Notarized vs Registered Agreement,Registration Act 1908,Registration Act,1908,Active,Notarization aur registration alag hai; property ke liye registration zaroori hai notarization nahi,Contracting Parties,Sub-Registrar / Notary,High
361,Legal Advice - Contract,Force Majeure Clause,Indian Contract Act Section 56,Indian Contract Act,1872,Active,"Natural disaster, pandemic par kaam rok sakte hain; COVID ke cases mein courts ne accept kiya",All Contracting Parties,Civil Court / Arbitration,High
362,Legal Advice - Contract,Breach of Contract Remedy,Specific Relief Act 1963,Specific Relief Act,1963,Active,Contract todne par damages maang sakte hain ya specific performance ka order court se le sakte hain,Aggrieved Party,Civil Court,High
363,Legal Advice - Contract,Penalty Clause Validity,Indian Contract Act Section 74,Indian Contract Act,1872,Active,Penalty clause valid hai lekin court sirf actual loss tak limit kar sakti hai,Contracting Parties,Civil Court,High
364,Legal Advice - Contract,Digital/E-Contract Validity,IT Act 2000 Section 10A,Information Technology Act,2000,Active,Email ya digital platform par kiya gaya contract legally valid hai; e-signature accepted,Digital Contracting Parties,Civil Court,High
365,Legal Advice - Contract,Arbitration Clause in Contract,Arbitration and Conciliation Act 1996,Arbitration and Conciliation Act,1996,Active,Contract mein arbitration clause ho toh pehle court nahi ja sakte; arbitration mandatory,Contracting Parties,Arbitral Tribunal,High
366,Legal Advice - Contract,Unilateral Contract Changes,Indian Contract Act Section 62,Indian Contract Act,1872,Active,Ek party dusri party ki bina consent ke contract nahi badal sakti; dono ki agreement zaroori,All Contracting Parties,Civil Court,High
367,Legal Advice - Cyber Fraud,UPI Fraud Complaint Process,IT Act + RBI Guidelines,Information Technology Act & RBI Fraud Reporting Rules,2021,Active,Immediately bank ko call karein; 1930 helpline par report karein; 24 ghante mein reverse possible,UPI Fraud Victims,Cyber Crime Portal / Police,High
368,Legal Advice - Cyber Fraud,Online Shopping Fraud,Consumer Protection E-Commerce Rules 2020,Consumer Protection (E-Commerce) Rules,2020,Active,Fake website se fraud hone par cybercrime.gov.in par complaint; bank se chargeback maangein,Online Shoppers,Cyber Crime Police,High
369,Legal Advice - Cyber Fraud,Social Media Defamation,BNS Section 356 + IT Act Section 66A struck down,Bharatiya Nyaya Sanhita,2023,Active,Online defamation par BNS 356 ke tahat case file karein; platform par bhi report karein,Defamation Victims,Police / Magistrate Court,High
370,Legal Advice - Cyber Fraud,Data Breach by Company,DPDP Act 2023,Digital Personal Data Protection Act,2023,Active,Agar aapka data leak hua toh company ko Data Protection Board ko report karna hoga; compensation,Data Breach Victims,Data Protection Board,High
371,Legal Advice - Cyber Fraud,Loan App Harassment,RBI Digital Lending Guidelines 2022,RBI Guidelines on Digital Lending,2022,Active,Illegal loan apps contacts access nahi le sakti; harassment par cybercrime report + RBI complaint,Digital Loan Victims,Cyber Crime Police / RBI,High
372,Legal Advice - Cyber Fraud,Identity Theft Online,IT Act Section 66C,Information Technology Act,2000,Active,Identity theft par 3 saal jail + fine; fake account report karein; credit bureau ko bhi batayen,Identity Theft Victims,Cyber Crime Police,High
373,Legal Advice - Family,Maintenance for Wife During Separation,Section 144 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Husband employed ho aur wife nahi toh court maintenance order kar sakta hai Rs 25000+,Separated Wives,Family Court / Magistrate,High
374,Legal Advice - Family,Child Custody Rights,Hindu Minority & Guardianship Act,Hindu Minority and Guardianship Act,1956,Active,5 saal tak bacha ma ke paas rehta hai; uske baad court child welfare dekhkar decide karta hai,Separated Parents,Family Court,High
375,Legal Advice - Family,Domestic Violence Protection Order,PWDVA 2005,Protection of Women from Domestic Violence Act,2005,Active,24 ghante mein protection order mil sakta hai; mahila ghar mein rehne ka haq nahi kho sakti,Domestic Violence Victims,Magistrate Court,High
376,Legal Advice - Family,Stridhan Recovery,Hindu Law / IPC-BNS,Bharatiya Nyaya Sanhita & Hindu Law,2023,Active,"Jewelry, gifts jo shaadi mein mile wife ka stridhan hai; wapas lene ka haq hai",Married Women,Family Court / Police,High
377,Legal Advice - Family,Divorce Timeline India,Hindu Marriage Act 1955,Hindu Marriage Act,1955,Active,Contested divorce 3-5 saal; Mutual consent divorce minimum 6-18 months mein ho sakta hai,Divorcing Couples,Family Court,High
378,Legal Advice - Family,Inheritance Without Will - Muslim Law,Muslim Personal Law,Muslim Personal Law (Shariat) Application Act,1937,Active,Muslim law mein daughter ko bete ka aadha hissa milta hai; will se zyada 1/3 nahi de sakte,Muslim Heirs,Civil Court / Qazi,High
379,Legal Advice - Workplace,Wrongful Termination During Maternity Leave,Maternity Benefit Act 1961,Maternity Benefit Act,2017,Active,Maternity leave ke dauran termination illegal hai; reinstatement ya compensation milega,Pregnant Employees,Labour Court,High
380,Legal Advice - Workplace,Caste Discrimination at Workplace,SC/ST Prevention of Atrocities Act 1989,SC/ST (Prevention of Atrocities) Act,1989,Active,Workplace mein caste ke naam par discrimination atrocity hai; FIR straight darj hogi,SC/ST Employees,Special Court / Police,High
381,Legal Advice - Workplace,Disability Discrimination at Work,RPwD Act 2016,Rights of Persons with Disabilities Act,2016,Active,Government jobs mein 4% reservation; private sector mein bhi reasonable accommodation zaroori,Persons with Disabilities,State Commissioner for Disabilities,High
382,Legal Advice - Workplace,Unpaid Dues Recovery,Code on Wages 2019,Code on Wages,2019,Active,Unpaid salary ke liye Labour Commissioner ko complaint; 3 saal ka hisaab mang sakte hain,Employees,Labour Commissioner / Labour Court,High
383,Legal Advice - Police,Rights When Arrested,Section 47-60 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Arrest hone par reason batana zaroori; ek family member ko inform karna police ka farz,Arrested Persons,Magistrate / High Court,High
384,Legal Advice - Police,FIR Registration Rights,Section 173 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Police FIR likhne se mana nahi kar sakti; SP ko complaint ya e-FIR file kar sakte hain,All Citizens,Police / SP / Magistrate,High
385,Legal Advice - Police,Bail Rights After Arrest,Section 478-498 BNSS,Bharatiya Nagarik Suraksha Sanhita,2023,Active,Bailable offence mein bail ka haq hai; 24 ghante mein magistrate ke samne pesh karna zaroori,Arrested Persons,Magistrate Court,High
386,Legal Advice - Police,Traffic Challan Rights,Motor Vehicles Act 1988,Motor Vehicles Act,1988,Active,E-challan ko 30 din mein contest kar sakte hain; without vehicle document original nahi de sakte,Vehicle Owners,Traffic Court / RTO,High
387,Legal Advice - Police,Custodial Torture Rights,Article 21 Constitution + D.K. Basu Guidelines,Constitution of India & Supreme Court Guidelines,1997,Active,Police torture kare toh NHRC aur SP ko complaint; writ of habeas corpus file karein,Detained Persons,High Court / NHRC,High
388,Legal Advice - Senior Citizen,Senior Citizen Maintenance from Children,MWPSC Act 2007 (Amended 2019),Maintenance and Welfare of Parents and Senior Citizens Act,2007,Active,Children se Rs 10000/month tak maintenance 90 din mein milega; SDM tribunal free mein,Senior Citizens (60+),Sub-Divisional Magistrate Tribunal,High
389,Legal Advice - Senior Citizen,Property Transfer Reversal,MWPSC Act Section 23,Maintenance and Welfare of Parents and Senior Citizens Act,2007,Active,Agar bachon ne property le li aur care nahi ki toh transfer void karwa sakte hain court se,Senior Citizens,Sub-Divisional Magistrate,High
390,Legal Advice - Senior Citizen,Senior Citizen Bank Account Benefits,RBI Circular on Senior Citizens,RBI Guidelines for Senior Citizens,2020,Active,75+ senior citizens ko sirf ITR file karna hai TDS nahi; special FD rates milte hain,Senior Citizens (75+),Banks / Income Tax Dept,High
391,Legal Advice - Student,College Fee Refund Rules,UGC Notification 2018,UGC (Refund of Fees) Notification,2018,Active,Admission cancel karne par 15 din mein fees refund honi chahiye minus Rs 1000 processing fee,Students,UGC / Consumer Commission,High
392,Legal Advice - Student,Education Loan Repayment,Indian Banks Association Model Scheme,IBA Model Education Loan Scheme,2012,Active,Course khatam hone ke 1 saal baad ya job milne ke 6 mahine baad EMI start hoti hai,Education Loan Borrowers,Banks / DRT,High
393,Legal Advice - Student,Anti-Ragging Complaint,UGC Anti-Ragging Regulations 2009,UGC Regulations on Curbing Ragging,2009,Active,1800-180-5522 helpline; FIR darj hogi; college ka NAAC grade affect hoga,Students,Anti-Ragging Committee / Police,High
394,Legal Checklist,Home Loan Document Checklist,RBI + NHB Guidelines,RBI and National Housing Bank Guidelines,2022,Active,"ID proof, income proof, ITR 3 saal, property documents, sale agreement, NOC from builder",Home Loan Applicants,Banks / NHB,High
395,Legal Checklist,Rent Agreement Checklist,Model Tenancy Act 2021,Model Tenancy Act,2021,Active,"Names, property address, rent amount, deposit, duration, maintenance terms, notice period clearly likhein",Tenants & Landlords,Rent Authority,High
396,Legal Checklist,Property Purchase Checklist,Registration Act + RERA,Registration Act & RERA Act,2016,Active,"Title deed, EC, building plan approval, OC, RERA registration, mutation, no dues certificate",Property Buyers,Sub-Registrar / RERA,High
397,Legal Checklist,Employment Contract Red Flags,Indian Contract Act + Labour Codes,Indian Contract Act & Labour Codes,2020,Active,"Dhyan rakhein: unlimited notice period, IP ownership clause, non-compete, probation extension clause",Job Seekers,Labour Court,High
398,Legal Checklist,Insurance Policy Checklist,IRDAI Regulations,IRDAI (Protection of Policyholders Interests) Regulations,2017,Active,"Waiting period, exclusions, sum insured, cashless hospitals list, claim process - sabhi padhe",Insurance Buyers,Insurance Ombudsman,High
399,Legal Checklist,Business Agreement Checklist,Indian Contract Act 1872,Indian Contract Act,1872,Active,"Parties ki details, scope of work, payment terms, penalty, dispute resolution, termination clause",Business Owners,Civil Court / Arbitration,High
400,Legal Checklist,Will Making Checklist,Indian Succession Act 1925,Indian Succession Act,1925,Active,2 witnesses ki zaroorat; executor appoint karein; all assets list karein; registered will preferred,All Adults,Sub-Registrar / Probate Court,High
